"","SRR3108953","SRR3108954","SRR3108955","SRR3108956","SRR3108957","SRR3108958","SRR3108959","SRR3108960","SRR3108961","SRR3108962","SRR3108963","SRR3108964","SRR3108965","SRR3108966","SRR3108967","SRR3108968","SRR3108969","SRR3108970","SRR3108971","SRR3108972","SRR3108973","SRR3108974","SRR3108975","SRR3108976","SRR3108977","SRR3108978","SRR3108979","SRR3108980","SRR3108981","SRR3108982","SRR3108983","SRR3108984","SRR3108985","SRR3108986","SRR3108987","SRR3108988","SRR3108989","SRR3108990","SRR3108991","SRR3108992","SRR3108993","SRR3108994","SRR3108995","SRR3108998","SRR3109009","SRR3109020","SRR3109031","SRR3109040"
"Bacillaceae",0,0,0,0,0,0,0,0,0,0.00128643363840188,0.058141955179352,0,0,0,0,0.0797359820026317,0,0.00928276737543637,0,0,0,0,0,0,0,0,0,0,0,0.00478923701239352,0,0,0,0,0,0,0.0855939895119,0,0,0,0,0,0,0,0,0,0,0.00719390185802763
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0808991882328454,0,0,0,0,0.0893713655078738,0,0,0,0,0,0,0,0,0,0,0,0.00344900105152471,0,0,0,0,0,0,0,0,0.0642396127470754,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0733365711510442,0,0,0,0,0.0636911583683518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466417910447761,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0487754110872129,0,0,0,0,0.0583853304469629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052188382412263,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0339970859640602,0,0,0,0,0.0490895199286897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00201567749160134,0,0.0696601452198467,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0473877749254146,0,0,0,0,0.0538223184345685,0,0,0,0,0,0,0,0,0,0.0050078891404267,0,0,0,0,0,0,0,0,0,0,0.0502974989915288,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.049607992784292,0,0,0,0,0.0629695657710429,0,0.00142811805775944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314895118999597,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0334073405952959,0,0,0,0,0.055329173564243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444987898346107,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0399639214597932,0,0,0,0,0.048834840188463,0,0.00293557600761663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0391538926986688,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0301117047110248,0,0,0,0,0.0420009338257142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500705929810407,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0438493027128287,0,0,0,0,0.0421494970075131,0,0.00841002856236116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351956434045986,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0311524318323736,0,0,0,0,0.0365040960991553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390530455828963,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0379171581211406,0,0,0,0,0.0404728553843542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285901573215006,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0,0.144154077994634,0,0,0,0,0.00589283267096067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0,0.143198441577535,0,0,0,0,0.00647526380704399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.032505377090127,0,0,0,0,0.0413642344751475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0285397337636144,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0,0.136656007645091,0,0,0,0,0.00568726874057832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0226531603413585,0,0,0,0,0.036376756229042,0,0.00126943827356395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0372377974989915,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0,0.128128790384827,0,0,0,0,0.00736604083870084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillaceae",0,0,0,0,0,0,0,0,0,0,0.0254631235690002,0,0,0,0,0.0350184642811664,0,0.00206283719454142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0318172650262203,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0604681741898649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0577864668938909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0551566636100971,0,0,0.00730941473207392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0536341459194796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NA",0,0,0,0,0,0,0,0,0.0513503693835533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
