"","5449-D1A","5449-D1B","5449-D3A","5449-D3B","5449-D5A","5449-D5B"
"Enterobacteriaceae",0.00357803824799506,0.00429789805923041,0,0.0021783806000822,0,0
"Enterobacteriaceae",0,0,0,0.00189066995478833,0,0.0057830329942686
"Enterobacteriaceae",0,0.00873010543281177,0,0.00106863953966297,0,0
"Burkholderiaceae",0,0,0,0.00332922318125771,0,0.0037176640677441
"Enterobacteriaceae",0.00931523750771129,0,0,0,0,0
"Lactobacillaceae",0,0,0,0.00328812166050144,0,0.00320132183611298
"Pseudomonadaceae",0,0,0,0.00250719276613235,0,0.00418237207621211
"Pseudomonadaceae",0,0,0.0056293720766588,0,0,0
"Enterobacteriaceae",0.00641579272054287,0,0.00120038081046401,0,0,0
"Burkholderiaceae",0,0,0,0.00258939580764488,0,0.00325295605927609
"Enterobacteriaceae",0.00758790869833436,0,0,0,0,0
"Planococcaceae",0.00752621838371376,0,0,0,0,0
"Enterobacteriaceae",0,0.00785709488953059,0,0,0,0
"Moraxellaceae",0.00123380629241209,0,0.00173848255308581,0.00131524866420058,0.00157547980521341,0
"Streptococcaceae",0,0.00778994023235511,0,0,0,0
"Streptococcaceae",0,0.00772278557517964,0,0,0,0
"Streptococcaceae",0,0,0,0.00402794903411426,0,0.000877781793772913
"Planococcaceae",0.00703269586674892,0,0,0,0,0
"Enterobacteriaceae",0.0067859346082665,0,0,0,0,0
"Pseudomonadaceae",0,0,0.00455316859141521,0,0,0
"Planococcaceae",0.00635410240592227,0,0,0,0,0
"Pseudomonadaceae",0.0014188772362739,0,0.00252493894614843,0.000369913686806412,0.000644514465769121,5.16342231631125e-05
"Weeksellaceae",0,0.00691692968907394,0,0,0,0
"Burkholderiaceae",0,0,0,0,0.00293612145517044,0.00314968761294986
"Lactobacillaceae",0,0,0.00240076162092802,0,0,0.00211700314968761
"Lactobacillaceae",0,0,0,0.00197287299630086,0,0.00263334538131874
"Streptococcaceae",0.00117211597779149,0.000671546571754751,0,0.00283600493218249,0,0
"Lactobacillaceae",0,0,0,0.00123304562268804,0,0.00351112717509165
"Enterobacteriaceae",0,0.00651400174602109,0,0,0,0
"Lactobacillaceae",0,0,0,0.0020550760378134,0,0.00242680848866629
"Weeksellaceae",0.00203578038247995,0.00389497011617756,0,0,0,0
"Enterobacteriaceae",0,0.00611107380296824,0,0,0,0
"Enterobacteriaceae",0,0,0,0,0,0.00469871430784324
"Enterobacteriaceae",0,0,0.000455316859141521,0,0,0.00392420096039655
"Streptococcaceae",0,0.00577530051709086,0,0,0,0
"Enterobacteriaceae",0,0.00543952723121348,0,0,0,0
"Enterobacteriaceae",0,0,0,0,0,0.00418237207621211
"Enterobacteriaceae",0,0.00530521791686253,0,0,0,0
"Moraxellaceae",0.00475015422578655,0,0,0,0,0
"Weeksellaceae",0,0.00510375394533611,0,0,0,0
"Enterobacteriaceae",0,0,0,0,0.00544256659982813,0
"Enterobacteriaceae",0,0,0.00310443313051037,0,0,0
"Streptococcaceae",0,0,0,0.00304151253596383,0,0
"Streptococcaceae",0.00431832202344232,0,0,0,0,0
"Pseudomonadaceae",0,0,0.00289747092180968,0,0,0
"Streptococcaceae",0,0,0,0.00287710645293876,0,0
"Moraxellaceae",0.00425663170882172,0,0,0,0,0
"Burkholderiaceae",0,0,0,0.00283600493218249,0,0
"Lactobacillaceae",0,0,0,0,0,0.00356276139825476
"Enterobacteriaceae",0,0,0,0,0,0.00356276139825476
"Enterobacteriaceae",0,0,0,0,0,0.00356276139825476
"Enterobacteriaceae",0,0,0,0,0.00458321397880264,0
"Streptococcaceae",0,0.00416358874487946,0,0,0,0
"Pseudomonadaceae",0,0,0.00256633138788857,0,0,0
"Pseudomonadaceae",0,0,0,0.00234278668310728,0,0
"Moraxellaceae",0.00339296730413325,0,0,0,0,0
"Burkholderiaceae",0,0,0.000165569766960553,0,0,0.00263334538131874
"Lactobacillaceae",0,0,0,0,0,0.00283988227397119
"Burkholderiaceae",0,0,0,0,0,0.00283988227397119
"Enterobacteriaceae",0,0.00362635148747566,0,0,0,0
"Weeksellaceae",0,0.00355919683030018,0,0,0,0
"Streptococcaceae",0,0,0,0.00213727907932593,0,0
"Streptococcaceae",0,0,0,0.00213727907932593,0,0
"Lactobacillaceae",0,0,0,0,0,0.00268497960448185
"Enterobacteriaceae",0,0.00342488751594923,0,0,0,0
"Enterobacteriaceae",0,0.00342488751594923,0,0,0,0
"Pseudomonadaceae",0,0,0,0,0,0.00263334538131874
"Pseudomonadaceae",0,0.00329057820159828,0,0,0,0
"Enterobacteriaceae",0,0.00322342354442281,0,0,0,0
"Pseudomonadaceae",0,0,0,0,0,0.0024784427118294
"Enterobacteriaceae",0,0.00315626888724733,0,0,0,0
"Lactobacillaceae",0,0,0,0,0,0.00242680848866629
